LEMMA,POS,FREQUENCY
be,v,318018
I,fw,267578
you,fw,248266
the,fw,176446
a,fw,152598
to,fw,151270
it,fw,117091
not,fw,109143
that,fw,95271
and,fw,90049
of,fw,70505
do,v,67643
have,v,62828
what,fw,62015
we,fw,61381
in,fw,58486
get,v,56906
this,fw,56116
my,fw,53316
me,fw,51927
go,v,51445
oh,u,48348
can,v,46947
no,fw,43447
on,fw,43007
for,fw,42850
know,v,40007
just,r,39366
your,fw,39164
's,fw,37343
all,fw,35728
so,r,35491
with,fw,34115
he,fw,33653
but,fw,30070
yeah,r,28499
well,r,28025
think,v,25894
here,r,25170
want,v,24829
out,r,24533
about,fw,23244
good,j,22907
come,v,22535
up,r,22171
say,v,21603
now,r,21312
at,fw,21243
one,m,21176
hey,u,21166
they,fw,21051
see,v,20925
if,fw,19770
how,r,19474
like,v,19165
she,fw,19043
look,v,18129
make,v,17038
right,j,16390
guy,n,15738
take,v,15582
let,v,15257
really,r,15209
okay,r,14801
her,fw,14759
uh,u,14667
tell,v,14661
him,fw,14270
why,r,14194
there,r,14067
who,fw,13916
time,n,13834
thing,n,12547
from,fw,12409
will,v,11923
like,r,11556
when,r,11544
as,fw,11415
because,fw,11396
some,fw,11370
our,fw,11333
yes,r,11118
there,fw,11044
back,r,10865
mean,v,10833
man,n,10340
little,j,10258
give,v,10173
his,fw,10145
us,fw,10058
them,fw,9857
need,v,9654
then,r,9584
shall,v,9411
or,fw,9272
talk,v,9197
okay,j,9098
something,fw,9075
where,r,8941
great,j,8778
way,n,8759
never,r,8620
call,v,8413
too,r,8300
by,fw,8133
sorry,j,8050
over,fw,8041
love,v,8010
wait,v,7947
more,fw,7922
down,r,7782
day,n,7704
two,m,7221
people,n,7104
God,u,7062
very,r,6974
off,fw,6967
work,v,6741
thank,v,6716
big,j,6674
try,v,6611
dad,n,6596
maybe,r,6499
feel,v,6479
friend,n,6447
even,r,6221
sure,j,6177
find,v,6172
kid,n,6056
these,fw,5950
boy,n,5937
put,v,5863
please,r,5856
happen,v,5854
much,fw,5811
stop,v,5799
night,n,5761
bad,j,5716
into,fw,5686
those,fw,5686
any,fw,5626
right,u,5623
first,m,5605
leave,v,5529
year,n,5520
hear,v,5517
right,r,5334
ever,r,5259
Mr,n,5256
again,r,5254
use,v,5245
mom,n,5205
may,v,5180
hi,u,5173
life,n,5169
nice,j,5059
new,j,5055
still,r,5024
kind,n,4928
anything,fw,4714
only,r,4704
baby,n,4676
than,fw,4671
fine,j,4571
hello,u,4554
keep,v,4549
girl,n,4526
help,v,4519
believe,v,4502
woman,n,4444
lot,n,4408
play,v,4377
ask,v,4367
start,v,4363
home,n,4348
nothing,fw,4330
hmm,u,4242
their,fw,4191
meet,v,4185
huh,u,4127
show,v,4075
around,fw,4013
guess,v,3988
old,j,3955
hell,n,3890
before,fw,3883
always,r,3868
three,m,3861
wow,u,3758
listen,v,3744
thanks,u,3726
minute,n,3718
actually,r,3706
eat,v,3701
place,n,3620
live,v,3571
away,r,3498
after,fw,3483
bring,v,3469
every,fw,3463
everything,fw,3375
money,n,3352
person,n,3351
watch,v,3351
other,j,3345
remember,v,3344
house,n,3327
wrong,j,3294
kill,v,3278
school,n,3243
everyone,fw,3242
run,v,3229
late,j,3221
care,v,3199
car,n,3191
move,v,3187
ah,u,3158
idea,n,3136
another,fw,3083
someone,fw,3080
today,r,3055
turn,v,3042
real,j,3008
happy,j,2995
whole,j,2956
week,n,2954
